fire	year	temp	humidity	rainfall	drought_code	buildup_index	day	month	wind_speed	encoded_fire	loss
no	2015	28	59	0.0	8.06	3.47	1	6	19	0	0.40926920552096663
no	2014	28	77	0.0	14.98	4.63	5	6	18	0	0.39403996840393
yes	2008	30	67	0.0	22.71	7.97	6	6	14	1	0.158594589379906
no	2014	26	89	0.2	39.62	10.76	9	6	15	0	0.3881082284416684
yes	2009	26	81	0.0	61.8	18.33	12	6	19	1	0.15575273608778778
no	2009	28	82	1.2	17.68	7.44	13	6	22	0	0.358262191806863
no	2011	31	80	0.5	7.98	4.53	14	6	21	0	0.3843240670018465
no	2016	29	78	3.1	7.78	3.31	15	6	17	0	0.41411291729270294
no	2010	30	88	0.7	7.93	2.92	16	6	13	0	0.368624994599598
no	2016	30	89	0.6	8.57	1.71	17	6	17	0	0.4161110854214023
no	2011	30	78	0.3	8.31	2.44	18	6	14	0	0.387467890299927
no	2015	30	56	0.1	16.9	5.94	19	6	16	0	0.43855123782614613
yes	2012	29	77	0.0	31.63	9.19	21	6	14	1	0.13443310329817534
no	2010	30	69	0.1	39.89	10.52	22	6	18	0	0.39878365855355086
yes	2017	32	64	0.1	48.67	12.32	23	6	20	1	0.10253535413867457
yes	2007	32	66	0.0	56.41	15.86	24	6	19	1	0.14183220991210083
yes	2013	32	63	0.0	64.44	18.59	25	6	17	1	0.11516930532616876
yes	2011	30	62	0.0	72.51	22.26	26	6	18	1	0.12438432327790566
yes	2009	33	55	0.0	88.58	30.49	28	6	14	1	0.12421502699300559
no	2012	31	46	0.3	84.82	24.79	29	6	14	0	0.4460987012738507
yes	2015	32	50	0.0	93.22	29.17	30	6	14	1	0.09940620196138136
no	2011	28	66	1.0	9.52	3.81	1	7	21	0	0.35977371572227407
no	2017	28	77	1.2	9.06	3.25	2	7	21	0	0.39876976183583585
no	2015	33	78	0.0	19.46	6.4	4	7	18	0	0.40332234968781744
yes	2016	34	64	0.0	28.2	9.1	5	7	15	1	0.12018756600619993
yes	2007	33	69	0.0	50.56	15.43	8	7	20	1	0.16049786360695673
no	2015	32	70	1.4	10.05	8.31	9	7	16	0	0.40400305853523605
no	2007	33	67	0.7	10.23	6.0	10	7	13	0	0.35067988440249964
no	2012	34	74	0.0	18.95	8.94	11	7	15	0	0.391408633355687
no	2013	32	73	0.1	27.82	10.17	12	7	15	0	0.39751437370581066
no	2015	34	62	0.6	23.89	8.59	14	7	14	0	0.4277343992446452
no	2012	30	81	0.4	17.22	6.27	15	7	19	0	0.3797510172934523
no	2016	28	77	0.0	25.9	8.83	16	7	23	0	0.41264153493480293
yes	2008	30	70	0.0	34.76	11.37	17	7	16	1	0.157998054611259
yes	2011	36	54	0.0	67.91	22.61	10	8	14	1	0.13422728988577717
yes	2017	35	63	0.0	77.23	25.67	11	8	15	1	0.1124143920821926
no	2007	35	51	0.3	75.8	21.6	12	8	15	0	0.3749623866107953
yes	2017	33	64	0.0	94.81	27.97	14	8	16	1	0.11136865607785457
yes	2011	35	56	0.3	92.76	22.36	15	8	13	1	0.12883078459252004
yes	2011	35	59	0.3	91.16	18.28	16	8	20	1	0.12766506041419107
yes	2010	36	52	0.0	101.16	23.44	17	8	20	1	0.12602467686836752
yes	2012	36	52	0.0	111.2	27.75	18	8	20	1	0.11635801441560813
yes	2007	35	60	0.0	121.2	31.35	19	8	21	1	0.1415956487413438
yes	2017	36	60	0.0	141.96	39.63	21	8	21	1	0.09831511156845008
yes	2012	37	53	0.0	151.37	43.23	22	8	19	1	0.11115644736340911
yes	2014	35	54	0.0	162.28	48.13	23	8	16	1	0.10633002669333912
yes	2010	33	66	0.0	172.19	51.54	24	8	15	1	0.12842269975425694
yes	2015	34	60	0.0	181.9	55.0	25	8	15	1	0.10457767692502849
yes	2016	31	79	0.0	191.26	58.09	26	8	20	1	0.11103145680024855
yes	2008	33	83	0.0	201.01	59.47	27	8	23	1	0.14014682548528964
yes	2015	34	66	0.0	210.55	62.99	28	8	16	1	0.10354005372385237
no	2013	35	70	0.8	181.14	37.76	30	8	19	0	0.4504539913697893
no	2010	27	82	16.8	9.51	8.54	31	8	23	0	0.3232386732639971
no	2013	24	77	7.2	8.38	2.63	1	9	19	0	0.31937940198382025
no	2013	30	73	0.1	16.28	3.58	4	9	18	0	0.35945087832564043
yes	2014	28	77	0.0	24.05	5.7	5	9	18	1	0.15912411397040868
