fire	year	temp	humidity	rainfall	drought_code	buildup_index	day	month	wind_speed	encoded_fire	pred
yes	2013	35	56	0.1	27.32	10.47	3	7	17	1	1
yes	2008	29	42	0.0	23.16	13.77	10	6	16	1	1
yes	2009	33	38	0.0	157.59	60.2	25	8	20	1	1
yes	2007	30	57	0.0	58.52	19.64	21	9	11	1	1
no	2017	38	54	0.0	11.5	5.07	1	8	14	0	1
yes	2017	28	81	0.0	42.0	14.97	14	9	15	1	1
no	2017	22	88	10.1	7.57	1.32	2	9	17	0	1
yes	2013	33	54	0.0	80.94	26.02	27	6	18	1	1
no	2014	32	63	8.7	8.6	5.0	18	6	11	0	1
yes	2007	35	62	0.0	86.0	25.09	13	8	15	1	1
no	2013	30	75	0.1	33.16	6.4	6	9	19	0	1
yes	2009	29	72	0.0	38.66	14.31	8	6	17	1	1
no	2013	28	89	0.0	16.72	4.01	12	9	15	0	1
yes	2009	34	28	0.0	59.66	22.83	16	9	13	1	1
yes	2013	32	51	0.0	24.72	8.38	17	9	16	1	1
no	2012	28	49	1.3	8.38	7.55	8	6	19	0	1
yes	2010	34	46	0.0	221.35	67.72	29	8	20	1	1
yes	2007	35	41	0.1	53.04	23.8	5	8	18	1	1
yes	2013	32	52	0.0	30.98	11.86	7	6	14	1	1
yes	2009	28	56	0.0	38.17	21.21	12	6	18	1	1
yes	2015	30	67	0.0	54.44	16.1	11	6	15	1	1
no	2007	28	73	1.1	8.34	5.13	10	9	16	0	1
yes	2014	32	52	0.0	50.74	18.18	15	9	15	1	1
yes	2012	40	42	0.1	65.53	24.28	16	8	12	1	1
yes	2017	41	33	0.0	46.38	23.1	11	8	17	1	1
yes	2017	34	47	0.0	18.57	7.9	2	7	16	1	1
yes	2007	35	67	0.1	96.83	36.06	19	8	15	1	1
yes	2012	32	50	0.0	33.64	11.52	18	9	12	1	1
no	2009	31	76	1.8	8.78	2.87	11	9	21	0	1
yes	2008	40	40	0.2	36.15	16.18	10	8	15	1	1
no	2017	30	82	2.0	7.77	2.87	3	6	15	0	1
no	2017	25	77	3.8	8.29	2.13	3	9	16	0	1
no	2015	36	56	0.2	20.61	10.77	26	7	12	0	1
no	2010	30	61	1.3	8.17	4.03	2	6	13	0	1
no	2017	31	76	0.7	10.05	3.61	3	7	21	0	1
no	2011	39	65	1.2	16.39	11.74	25	7	9	0	1
yes	2013	36	35	0.0	52.77	27.51	28	6	14	1	1
no	2007	23	74	8.3	7.36	2.27	14	9	28	0	1
no	2009	26	83	13.1	8.08	3.59	3	6	22	0	1
no	2017	25	87	2.5	7.18	2.42	4	6	15	0	1
yes	2016	34	45	0.3	54.29	19.47	15	8	14	1	1
no	2011	35	70	6.5	9.45	3.84	6	9	16	0	1
no	2007	28	77	0.0	46.44	13.14	10	6	13	0	1
yes	2008	28	49	0.0	33.54	13.21	13	9	20	1	1
yes	2008	36	33	0.0	98.06	30.36	21	9	18	1	1
no	2008	33	71	1.8	9.61	3.6	10	9	13	0	1
no	2016	29	63	0.0	15.84	6.09	4	6	15	0	1
no	2010	30	52	0.0	17.05	6.32	26	9	11	0	1
no	2010	30	71	4.7	8.14	3.94	17	6	17	0	1
yes	2013	36	67	0.0	131.2	34.92	20	8	19	1	1
no	2008	33	61	1.1	57.35	22.04	24	7	19	0	1
no	2008	35	79	0.0	38.08	12.44	13	7	16	0	1
yes	2016	37	31	0.1	78.35	28.76	18	9	14	1	1
yes	2011	38	56	0.0	20.36	11.04	8	8	13	1	1
no	2008	35	65	0.2	41.16	12.76	7	7	18	0	1
no	2011	29	71	0.9	9.12	3.74	8	9	17	0	1
yes	2015	34	39	0.0	148.34	55.68	24	8	16	1	1
yes	2012	35	57	0.0	48.17	19.91	29	7	16	1	1
no	2009	27	88	0.5	8.87	3.71	28	9	30	0	1
yes	2007	35	53	0.0	43.33	21.39	27	6	16	1	1
yes	2010	34	72	0.0	26.04	13.34	25	6	17	1	1
no	2009	32	58	0.2	18.23	6.86	5	6	15	0	1
no	2011	34	60	0.2	88.35	24.82	20	9	15	0	1
no	2017	30	64	0.6	15.38	6.24	24	9	19	0	1
no	2009	34	57	0.4	166.58	30.69	28	8	14	0	1
no	2009	29	70	0.0	36.17	14.36	25	9	15	0	1
no	2008	29	80	0.4	27.73	5.38	20	6	16	0	1
yes	2017	32	61	0.0	37.33	13.06	6	7	15	1	1
