fire	year	temp	humidity	rainfall	drought_code	buildup_index	day	month	wind_speed	encoded_fire	loss_e1	pred_e1	loss_e2	pred_e2	loss_e3	pred_e3	loss_e4	pred_e4	loss_e5	pred_e5	loss_e6	pred_e6	loss_e7	pred_e7	loss_e8	pred_e8	loss_e9	pred_e9	loss_e10	pred_e10	pred
no	2015	28	59	0.0	8.06	3.47	1	6	19	0	0.18489746325175674	0	0.32901691047181814	1	0.2621832550456181	1	0.15880146052121222	0	0.08935757403203295	0	0.06269216949489298	0	0.04934392360214799	0	0.043072401473271155	0	0.039017766107205705	0	0.03590992601867893	0	0
no	2014	28	77	0.0	14.98	4.63	5	6	18	0	0.1494985014833802	0	0.2655058848323389	1	0.18184339991704762	0	0.11299058508815782	0	0.08099598591582956	0	0.06238009290711319	0	0.05253016488745069	0	0.04630891509821775	0	0.04215930476174214	0	0.03887368930276365	0	0
yes	2008	30	67	0.0	22.71	7.97	6	6	14	1	0.4087524758900043	0	0.2801447694485582	0	0.33936845388421183	0	0.401661261081142	0	0.44343167568683584	0	0.46496387864683825	0	0.4710498403450961	0	0.4720816734866405	0	0.4711590561889584	0	0.47181239091412003	0	0
yes	2009	26	81	0.0	61.8	18.33	12	6	19	1	0.4066244570036027	0	0.257844707615982	0	0.3061588111679006	0	0.37653376622089374	0	0.4087599643398628	0	0.42169092393460456	0	0.4216201326672081	0	0.4187422724750054	0	0.41504805971289405	0	0.4118557540740806	0	0
no	2009	28	82	1.2	17.68	7.44	13	6	22	0	0.15413976991871325	0	0.24974546325831318	0	0.20548477318207442	0	0.16117193281604808	0	0.13586723202798917	0	0.12657896228398796	0	0.12358972369616873	0	0.12157059541369723	0	0.11968613720219441	0	0.11684676445053167	0	0
no	2011	31	80	0.5	7.98	4.53	14	6	21	0	0.14820922124612365	0	0.2476985673710616	0	0.18861069573011308	0	0.1408524618453021	0	0.11761294261189616	0	0.10529166853697093	0	0.09958377485197988	0	0.09560092724048214	0	0.09243610214216234	0	0.08909772025954482	0	0
no	2010	30	88	0.7	7.93	2.92	16	6	13	0	0.1352195929470052	0	0.2227003238267416	0	0.17844645739092735	0	0.1384286645885661	0	0.11612979380264436	0	0.10386241213550447	0	0.09752098783598229	0	0.09260347955479757	0	0.08836091514593329	0	0.0839939745393181	0	0
no	2016	30	89	0.6	8.57	1.71	17	6	17	0	0.14240004843569623	0	0.24910856684721136	0	0.17247603784943424	0	0.10677993688212918	0	0.07753491016176842	0	0.05958879567111249	0	0.04899131931253677	0	0.0415920382075605	0	0.03623305613269938	0	0.032047517871057814	0	0
no	2011	30	78	0.3	8.31	2.44	18	6	14	0	0.12266782248076613	0	0.20622946679303572	0	0.1518394171204872	0	0.12039694724183113	0	0.09730706035426229	0	0.08399100846564866	0	0.07650806338989462	0	0.07086421243557418	0	0.06623708505676645	0	0.06193776551549944	0	0
no	2015	30	56	0.1	16.9	5.94	19	6	16	0	0.1407575757309785	0	0.287641988045914	1	0.27130793849668466	1	0.2259204010900595	0	0.1643525607032806	0	0.11397597153675312	0	0.08740675479999954	0	0.06716183389185638	0	0.05097615269688939	0	0.0399686201685068	0	0
yes	2012	29	77	0.0	31.63	9.19	21	6	14	1	0.4668548476523498	0	0.3090826680402998	0	0.3772540096742893	0	0.4512729917676449	0	0.5053103677625442	0	0.5362212447560291	0	0.5544879129402437	0	0.5679142092526013	0	0.578338238979867	0	0.588011968109597	0	0
no	2010	30	69	0.1	39.89	10.52	22	6	18	0	0.11716562845566143	0	0.21818650211957896	0	0.1883453164355353	0	0.14699551383695275	0	0.12378242887807975	0	0.11253679620946966	0	0.11177107115393828	0	0.11298010109762338	0	0.11418031349879097	0	0.1144543748826085	0	0
yes	2007	32	66	0.0	56.41	15.86	24	6	19	1	0.44635704603893	0	0.3134858780461171	0	0.3391750505600271	0	0.3662596994746877	0	0.3642255561045133	0	0.3212597043078225	0	0.27579444993483687	0	0.2511558762206448	0	0.24371178159211082	1	0.24936220349185953	1	1
yes	2013	32	63	0.0	64.44	18.59	25	6	17	1	0.40068304039410374	0	0.2175228651097014	1	0.1967487252950823	1	0.16848153788311956	1	0.13861814802419378	1	0.11029835393071774	1	0.09223171108545097	1	0.08361947718395585	1	0.07930290815469224	1	0.07753947701975503	1	1
yes	2011	30	62	0.0	72.51	22.26	26	6	18	1	0.39093408705221777	0	0.21725767491386258	1	0.18934204768254306	1	0.15818322288129782	1	0.12092565941649848	1	0.08869243167624612	1	0.06940549932273085	1	0.06007424908055887	1	0.055416299693818456	1	0.053469959143099655	1	1
yes	2013	33	54	0.0	80.94	26.02	27	6	18	1	0.3339149832395047	0	0.17593090176963155	1	0.14137465305057687	1	0.0977502938628207	1	0.05698890704588158	1	0.031214202998935747	1	0.018917772324725957	1	0.013376122388281841	1	0.010492806170523668	1	0.008884378889192808	1	1
yes	2009	33	55	0.0	88.58	30.49	28	6	14	1	0.33935261552883056	0	0.18796575345497277	1	0.15239900222729585	1	0.10317053406953056	1	0.05576663404710842	1	0.027144591591083372	1	0.014516708894757	1	0.009206293414227929	1	0.006677424499011984	1	0.005390219687581622	1	1
no	2012	31	46	0.3	84.82	24.79	29	6	14	0	0.21708902742078917	0	0.37172126739108086	1	0.43578894021077547	1	0.5369478340975956	1	0.6536726582385138	1	0.7464132015540486	1	0.8020098703440195	1	0.8313665858912296	1	0.8475970531278609	1	0.8564124625745726	1	1
yes	2015	32	50	0.0	93.22	29.17	30	6	14	1	0.29976514120045694	0	0.15349964951366238	1	0.11529932353605378	1	0.07373471630995033	1	0.04210019914700492	1	0.024716133678583524	1	0.01669870349750338	1	0.013082695567894508	1	0.011158748305171495	1	0.010035974131640108	1	1
no	2011	28	66	1.0	9.52	3.81	1	7	21	0	0.21189907334664793	0	0.24433857539011009	0	0.1651340100199854	0	0.10955836602269363	0	0.07748332648849356	0	0.05780544355555463	0	0.047131469919905404	0	0.041501384258680524	0	0.038651876925353906	0	0.03713901267035992	0	0
