iter	Passed	Remaining
0	5	999
1	9	907
2	13	874
3	17	848
4	21	842
5	25	830
6	29	818
7	33	803
8	37	796
9	41	792
10	46	797
11	50	787
12	54	782
13	58	781
14	62	776
15	67	774
16	71	765
17	74	755
18	78	751
19	82	742
20	86	735
21	90	730
22	93	723
23	98	723
24	103	725
25	107	719
26	111	714
27	115	710
28	120	708
29	124	705
30	129	704
31	133	702
32	137	697
33	141	693
34	146	692
35	151	689
36	155	684
37	159	681
38	164	677
39	168	672
40	172	668
41	176	662
42	180	658
43	183	652
44	187	646
45	191	642
46	195	637
47	200	633
48	203	627
49	207	623
50	211	618
51	216	615
52	220	610
53	223	605
54	227	600
55	231	595
56	235	590
57	239	585
58	243	582
59	247	578
60	252	574
61	256	570
62	260	566
63	264	562
64	268	557
65	272	553
66	276	549
67	280	545
68	285	541
69	288	536
70	292	532
71	296	527
72	300	523
73	304	519
74	308	514
75	312	510
76	316	506
77	320	501
78	325	498
79	329	494
80	333	490
81	338	486
82	342	482
83	346	477
84	350	473
85	354	469
86	357	464
87	361	460
88	365	456
89	370	452
90	374	448
91	377	443
92	381	439
93	385	435
94	390	431
95	394	427
96	398	423
97	402	419
98	406	414
99	411	411
100	414	406
101	418	401
102	422	397
103	426	393
104	430	389
105	434	385
106	439	381
107	443	377
108	447	373
109	451	369
110	456	365
111	460	361
112	464	357
113	467	352
114	470	348
115	474	343
116	478	339
117	483	335
118	486	331
119	490	327
120	494	322
121	498	318
122	502	314
123	506	310
124	510	306
125	514	302
126	518	298
127	523	294
128	526	290
129	530	285
130	533	281
131	537	276
132	542	273
133	546	268
134	549	264
135	554	260
136	558	256
137	562	252
138	566	248
139	570	244
140	573	240
141	577	235
142	581	231
143	585	227
144	589	223
145	593	219
146	597	215
147	601	211
148	605	207
149	609	203
150	613	199
151	617	194
152	620	190
153	624	186
154	629	182
155	633	178
156	637	174
157	641	170
158	645	166
159	648	162
160	653	158
161	657	154
162	661	150
163	665	146
164	669	141
165	673	138
166	677	133
167	682	129
168	686	125
169	690	121
170	694	117
171	699	113
172	703	109
173	707	105
174	711	101
175	716	97
176	720	93
177	724	89
178	728	85
179	733	81
180	737	77
181	741	73
182	745	69
183	750	65
184	753	61
185	757	57
186	761	52
187	765	48
188	770	44
189	774	40
190	777	36
191	781	32
192	785	28
193	790	24
194	794	20
195	798	16
196	803	12
197	807	8
198	811	4
199	815	0
